"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"treatment",1.63557905186263,1.63557905186263,1,26.9999999967197,8.31206264344261,0.00763761178506171
"plant",0.315023736066106,0.315023736066106,1,27.0000000002658,1.60096023813145,0.216578230729048
"depth",1.1592683513144,1.1592683513144,1,26.9999999997855,5.89143713091223,0.0221622537321439
"fraction",12.0645661980814,12.0645661980814,1,26.9999999961747,61.3124935112187,2.02865716994747e-08
"treatment:plant",0.217793255013382,0.217793255013382,1,27.0000000007257,1.10683196689814,0.30209673079388
"treatment:depth",0.0668326625686939,0.0668326625686939,1,26.9999999995807,0.339645630253342,0.564869922764879
"treatment:fraction",0.206310043016243,0.206310043016243,1,26.9999999971998,1.04847393317335,0.314945962142273
"plant:depth",0.00609158531464747,0.00609158531464747,1,26.9999999985322,0.0309576224246467,0.861647976128052
"plant:fraction",0.0557418073521485,0.0557418073521485,1,27.0000000001488,0.283281565658425,0.598911389969618
"depth:fraction",0.24507270959538,0.24507270959538,1,26.9999999995865,1.24546698738601,0.274254182127462
"treatment:plant:depth",0.528677097637207,0.528677097637207,1,26.9999999995807,2.68675314024686,0.112787716351344
"treatment:plant:fraction",0.0261091898002655,0.0261091898002655,1,26.999999999484,0.132687699162075,0.718498746993814
"treatment:depth:fraction",0.195127806016503,0.195127806016503,1,26.9999999994841,0.99164546356816,0.328181914981237
"plant:depth:fraction",0.064621576588253,0.064621576588253,1,26.9999999995777,0.328408823840022,0.571339906521851
"treatment:plant:depth:fraction",0.12416377076714,0.12416377076714,1,26.9999999994837,0.631004071302569,0.433914187447581
